매물ID,제조사,모델,현재가격,차량연령,주행거리_km,연료,색상,지역,변속기,배기량,차급,좌석수,상사명,압류건수,저당건수,보험이력공개여부,보험이력건수,성능점검유형,옵션_기본코드 개수,옵션_선택코드 개수,옵션_튜닝코드 개수,옵션_기타개수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,보험이력_여부,사고종합_여부
41553577,0,95,2089,5,159614,4,2,1,1,2151,0,9,197,0,0,1,6,1,48,7,0,0,1,1,1,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1
41029957,0,69,1619,3,98128,1,22,1,1,1591,1,5,197,0,0,1,4,1,32,4,0,0,0,1,1,1,1,1,1,1,0,1,0,2,0,0,1,1,1,1
41026046,0,47,989,5,89977,1,22,1,1,998,2,5,197,0,0,1,8,1,27,2,0,0,0,0,1,1,0,1,1,1,0,1,0,6,0,0,1,1,1,1
41030022,0,9,1619,4,117493,1,22,1,1,1999,7,5,197,0,0,1,4,1,34,3,0,0,0,1,1,1,1,1,1,1,0,1,0,3,0,0,1,1,1,1
40994792,0,34,1229,4,101131,1,22,1,1,1598,6,5,197,0,0,1,4,1,32,4,0,0,0,0,1,1,1,1,1,1,0,1,0,4,0,0,1,1,1,1
40994644,0,74,1939,4,87515,1,22,1,1,1598,1,5,197,0,0,1,6,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
40994703,0,69,1639,3,93007,1,22,1,1,1591,1,5,197,0,0,1,1,1,33,4,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
41071713,0,78,2739,4,143088,4,22,1,1,2151,1,7,197,0,0,1,0,1,48,7,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
41082340,0,47,795,4,88466,1,22,1,1,998,2,2,197,0,0,1,0,1,22,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
41083187,0,29,1849,5,83395,5,22,1,1,180,1,5,197,0,0,1,2,1,43,7,0,0,1,1,1,1,1,1,1,1,1,1,2,3,0,1,1,1,1,1
41109877,0,74,1839,4,125574,1,22,1,1,1598,1,5,197,0,0,1,5,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
41154370,0,74,1819,4,102790,1,22,1,1,1598,1,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,1,2,0,1,1,1,1,1
41166806,0,78,2389,3,126718,3,22,1,1,1598,1,5,197,0,0,1,2,1,44,3,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,1
41204287,0,9,1679,5,106749,1,22,1,1,1999,7,5,197,0,0,1,0,1,32,2,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
41196931,0,74,1849,4,111962,1,22,1,1,1598,1,5,197,0,0,1,1,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
41197102,0,9,1669,4,109964,1,22,1,1,1999,7,5,197,0,0,1,5,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,3,0,0,1,1,1,1
