매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41595243,더 뉴 K9 2세대,3820,1,58315,3778,5,3,6,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
41580871,올 뉴 K7,1490,1,110500,2199,5,9,2,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41578436,올 뉴 모닝,199,1,163037,998,2,14,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
41529573,K5 3세대,2750,1,54115,1999,5,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41528563,카니발 4세대,2350,1,157922,2151,9,5,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41537128,올 뉴 카니발,1100,1,147128,2199,9,8,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41541363,더 뉴 카니발 4세대,4120,1,2900,1598,9,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41542075,더 뉴 레이,1050,1,62840,998,5,5,22,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1
41544027,카니발 4세대,2590,1,64893,2151,9,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41546370,카니발 4세대,3280,1,33337,3470,7,3,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41558627,올 뉴 K3,1353,1,101295,1598,5,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1
41561817,K3,570,1,127647,1591,5,13,14,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1
