epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,14.2475,1.53881,3.3953,1.18289,0.02986,0.69444,0.14535,0.07927,1.54629,3.82103,0.99294,6.71788e-05,6.71788e-05,6.71788e-05
40,14.5626,1.5538,3.36231,1.10242,0.02986,0.69444,0.14535,0.07927,1.54629,3.82103,0.99294,6.34332e-05,6.34332e-05,6.34332e-05
41,17.3663,1.47521,3.13453,1.11429,0.03142,0.69444,0.14699,0.08281,1.51225,3.7964,0.97753,5.94048e-05,5.94048e-05,5.94048e-05
42,17.7444,1.46818,3.18537,1.10318,0.03142,0.69444,0.14699,0.08281,1.51225,3.7964,0.97753,5.50937e-05,5.50937e-05,5.50937e-05
43,18.126,1.40835,3.11127,1.09425,0.0328,0.69444,0.15343,0.08784,1.47578,3.7691,0.96172,5.04998e-05,5.04998e-05,5.04998e-05
44,18.4664,1.45402,3.11107,1.06395,0.0328,0.69444,0.15343,0.08784,1.47578,3.7691,0.96172,4.56232e-05,4.56232e-05,4.56232e-05
45,18.8232,1.38709,3.15893,1.06772,0.03382,0.69444,0.17385,0.10212,1.41732,3.75391,0.95457,4.04638e-05,4.04638e-05,4.04638e-05
46,19.1358,1.37778,3.04287,1.02113,0.03382,0.69444,0.17385,0.10212,1.41732,3.75391,0.95457,3.50217e-05,3.50217e-05,3.50217e-05
47,19.4752,1.4164,2.9143,1.12208,0.02885,0.63889,0.20683,0.13817,1.36532,3.73511,0.9415,2.92968e-05,2.92968e-05,2.92968e-05
48,19.8025,1.5113,3.1957,1.18431,0.02885,0.63889,0.20683,0.13817,1.36532,3.73511,0.9415,2.32893e-05,2.32893e-05,2.32893e-05
49,20.1496,1.37166,3.0229,1.06409,0.03294,0.72222,0.21232,0.13912,1.34057,3.71979,0.93205,1.69989e-05,1.69989e-05,1.69989e-05
50,20.4696,1.33963,2.93067,1.06405,0.03294,0.72222,0.21232,0.13912,1.34057,3.71979,0.93205,1.04258e-05,1.04258e-05,1.04258e-05
