iter	RMSE
298	0.1291560209
299	0.1289981145
300	0.128756751
301	0.1284986332
302	0.1283714293
303	0.1281465255
304	0.127971879
305	0.1277739733
306	0.1275672119
307	0.1274684526
308	0.1273615005
309	0.1272523987
310	0.1271599121
311	0.127023935
312	0.126904078
313	0.126736755
314	0.1265845942
315	0.1265107468
316	0.1263396353
317	0.1262209957
318	0.1261002319
319	0.1259989083
320	0.125892678
321	0.1257151576
322	0.1256150084
323	0.1252514437
324	0.1251129195
325	0.1249676949
326	0.1248501532
327	0.1247331206
328	0.1245867445
329	0.1244542323
330	0.1243345578
331	0.1242335132
332	0.1240526431
333	0.1238320726
334	0.1236896165
335	0.1235006255
336	0.1233692302
337	0.1232361222
338	0.1231221749
339	0.1230426868
340	0.1228329342
341	0.1227070834
342	0.1226096583
343	0.1224254317
344	0.12233605
345	0.122085218
346	0.1219916499
347	0.1218370047
348	0.1217082518
349	0.1214730975
350	0.1213626679
351	0.1211916413
352	0.1208975722
353	0.1207890453
354	0.1206739332
355	0.1205336712
356	0.1204355951
357	0.1203252505
358	0.120148148
359	0.1200342768
360	0.119934778
361	0.1197415687
362	0.1196120752
363	0.1194424798
364	0.1193022574
365	0.119166924
366	0.1190352225
367	0.1189256537
368	0.1188269735
369	0.1186878209
370	0.1185404027
371	0.1184802493
372	0.1183796978
373	0.1182185496
374	0.1180970754
375	0.1178954631
376	0.1177940433
377	0.1176263602
378	0.1175552823
379	0.1174515152
380	0.1173805992
381	0.117327838
382	0.1172987679
383	0.1172029956
384	0.1171201393
385	0.1169724338
386	0.1168763434
387	0.1167303097
388	0.1166260358
389	0.1164042526
390	0.1163289606
391	0.1161654086
392	0.1161058185
393	0.1160097886
394	0.1159219658
395	0.1158255254
396	0.1157435283
397	0.1156778678
398	0.1156168238
399	0.1155528315
400	0.1154186418
401	0.1153102342
402	0.1151909435
403	0.1151020156
404	0.1150075561
405	0.1148798639
406	0.114596784
407	0.1144966937
408	0.1144194959
409	0.1143249052
410	0.1142343436
411	0.1141368809
412	0.1140490651
413	0.1139677089
414	0.1137865217
415	0.1137036259
416	0.1136489379
417	0.1135177186
418	0.113354413
419	0.1132216456
420	0.1131578197
421	0.1130911941
422	0.1129537246
423	0.1128263767
424	0.1126811048
425	0.112570417
426	0.1123559284
427	0.1122260879
428	0.1121326
429	0.1120364775
430	0.1119297784
431	0.1118172732
432	0.1116506447
433	0.1115304736
434	0.1114068458
435	0.1112869281
436	0.1112004229
437	0.1111212559
438	0.111037875
439	0.1109642861
440	0.1108422366
441	0.1107109862
442	0.1105247662
443	0.1104663223
444	0.1103041013
445	0.1101748922
446	0.1100075227
447	0.1098971079
448	0.1097575862
449	0.1096376312
450	0.1095371661
451	0.1094935216
452	0.1094036561
453	0.1092732913
