매물ID,모델,모델_원본,모델_LE,모델_평균가_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
39541611,토레스,더 뉴 토레스,100,2838.636364,2340,5735,1497,2,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
39543383,렉스턴,G4 렉스턴,35,1783.857143,1620,91358,2157,7,8,3,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
39563063,코란도,코란도 지프,92,515,515,197533,2238,5,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
39582037,렉스턴,렉스턴 스포츠,35,1540.094595,1880,61810,2157,5,7,5,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39592858,티볼리,티볼리 아머,105,1085.428571,830,70297,1597,5,9,13,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
39604210,렉스턴,G4 렉스턴,35,1783.857143,1290,156346,2157,5,8,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
39625775,렉스턴,렉스턴 스포츠,35,1540.094595,1640,75439,2157,5,5,5,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39655858,코란도,코란도 투리스모,92,658.9183673,800,98821,2157,9,10,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39657112,렉스턴,G4 렉스턴,35,1783.857143,1240,163230,2157,5,9,2,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39669472,코란도,코란도 투리스모,92,658.9183673,740,155970,2157,9,10,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39707734,렉스턴,G4 렉스턴,35,1783.857143,1570,106373,2157,5,8,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
39786496,티볼리,티볼리 에어,105,1023.075269,660,168815,1597,5,8,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39802588,티볼리,티볼리,105,716.5412844,800,98494,1597,5,10,5,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
39819505,코란도,뷰티풀 코란도,92,1788.536082,1640,37020,1497,5,6,4,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
39828342,티볼리,티볼리,105,716.5412844,699,173332,1597,5,11,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
39878430,티볼리,티볼리,105,716.5412844,800,68919,1597,5,10,13,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
39914298,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,3130,17926,2157,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
39957139,티볼리,티볼리,105,716.5412844,720,120069,1597,5,11,12,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
39963228,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,2750,17507,2157,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
39986058,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,1920,21961,2157,5,5,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40027972,렉스턴,렉스턴 스포츠,35,1540.094595,1090,37185,2157,5,8,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40043291,토레스,토레스,100,2458.245033,2155,122584,1497,5,3,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
40068268,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,2050,95897,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40068361,티볼리,베리 뉴 티볼리,105,1315.876404,1420,30111,1497,5,6,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40089301,토레스,더 뉴 토레스,100,2838.636364,2799,5750,1497,5,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40124244,렉스턴,G4 렉스턴,35,1783.857143,1699,47569,2157,5,8,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40124419,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,3100,40285,2157,5,4,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40129001,티볼리,티볼리,105,716.5412844,699,77131,1597,5,11,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40139216,렉스턴,더 뉴 렉스턴 스포츠,35,2465.627119,3150,24546,2157,5,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40151235,코란도,코란도 C,92,314.4,330,171004,1998,5,14,11,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40170064,코란도,뉴코란도,92,650,650,75694,2874,2,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40194537,체어맨,체어맨 H 뉴 클래식,84,383,350,181941,2799,5,13,2,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40194795,코란도,뉴코란도 C,92,468.6666667,390,177820,1998,5,12,8,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40195283,렉스턴,렉스턴 W,35,654.3157895,420,177350,1998,7,13,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40213125,렉스턴,더 뉴 렉스턴 스포츠,35,2465.627119,1999,95201,2157,5,5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40264494,코란도,코란도 투리스모,92,658.9183673,490,82853,1998,11,13,12,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40272585,코란도,뷰티풀 코란도,92,1788.536082,1530,105069,1497,5,7,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40272700,체어맨,뉴체어맨 W,84,628.8888889,999,99908,4966,5,12,12,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40283175,티볼리,티볼리 에어,105,1023.075269,1320,13478,1597,5,9,4,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40293825,티볼리,티볼리 아머,105,1085.428571,1090,97194,1597,5,7,6,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40301885,티볼리,티볼리 아머,105,1085.428571,750,92033,1597,5,8,2,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40315639,렉스턴,렉스턴 스포츠,35,1540.094595,1530,108833,2157,5,8,5,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40316621,렉스턴,렉스턴 스포츠 칸,35,2113.842105,1810,67312,2157,5,7,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40340527,렉스턴,슈퍼 렉스턴,35,311.1666667,359,224829,1998,7,15,9,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40382104,코란도,코란도 스포츠,92,797.9574468,620,184057,1998,5,11,2,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40391671,코란도,더 뉴 코란도 스포츠,92,907.3157895,1080,84733,2157,5,9,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40397674,코란도,코란도 스포츠,92,797.9574468,799,120591,1998,5,11,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40402219,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,2600,9138,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40419107,렉스턴,렉스턴 W,35,654.3157895,525,145325,1998,7,14,13,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40432116,렉스턴,렉스턴 스포츠 칸,35,2113.842105,1890,46444,2157,5,7,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40437514,티볼리,티볼리 에어,105,1023.075269,1290,95911,1497,5,6,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40456211,토레스,토레스,100,2458.245033,2050,78480,1497,5,4,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
