매물ID,모델,모델_원본,모델_LE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
40027972,렉스턴,렉스턴 스포츠,35,1090,37185,2157,5,8,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40068361,티볼리,베리 뉴 티볼리,105,1420,30111,1497,5,6,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40124244,렉스턴,G4 렉스턴,35,1699,47569,2157,5,8,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40129001,티볼리,티볼리,105,699,77131,1597,5,11,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40151235,코란도,코란도 C,92,330,171004,1998,5,14,11,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40170064,코란도,뉴코란도,92,650,75694,2874,2,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40194537,체어맨,체어맨 H 뉴 클래식,84,350,181941,2799,5,13,2,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40194795,코란도,뉴코란도 C,92,390,177820,1998,5,12,8,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40195283,렉스턴,렉스턴 W,35,420,177350,1998,7,13,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40264494,코란도,코란도 투리스모,92,490,82853,1998,11,13,12,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40272585,코란도,뷰티풀 코란도,92,1530,105069,1497,5,7,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40272700,체어맨,뉴체어맨 W,84,999,99908,4966,5,12,12,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40283175,티볼리,티볼리 에어,105,1320,13478,1597,5,9,4,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40293825,티볼리,티볼리 아머,105,1090,97194,1597,5,7,6,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40301885,티볼리,티볼리 아머,105,750,92033,1597,5,8,2,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40315639,렉스턴,렉스턴 스포츠,35,1530,108833,2157,5,8,5,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40340527,렉스턴,슈퍼 렉스턴,35,359,224829,1998,7,15,9,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40382104,코란도,코란도 스포츠,92,620,184057,1998,5,11,2,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40391671,코란도,더 뉴 코란도 스포츠,92,1080,84733,2157,5,9,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40397674,코란도,코란도 스포츠,92,799,120591,1998,5,11,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40419107,렉스턴,렉스턴 W,35,525,145325,1998,7,14,13,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40437514,티볼리,티볼리 에어,105,1290,95911,1497,5,6,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40457284,코란도,뷰티풀 코란도,92,1580,46218,1597,5,6,3,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40485320,렉스턴,렉스턴 W,35,840,122254,2157,5,11,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40488078,티볼리,티볼리,105,740,125183,1597,5,10,11,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40512542,코란도,코란도 스포츠,92,750,109696,1998,5,12,5,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40516152,코란도,뉴코란도 C,92,319,121479,1998,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40520056,티볼리,티볼리 아머,105,890,98608,1597,5,8,12,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40520809,코란도,더 뉴 코란도 스포츠,92,1050,128570,2157,5,9,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40521853,티볼리,티볼리 에어,105,550,178551,1597,5,10,14,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40525825,코란도,뉴코란도 C,92,640,81016,1998,5,12,6,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40540736,렉스턴,G4 렉스턴,35,1199,147327,2157,5,8,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40548528,코란도,코란도 투리스모,92,590,127885,2157,9,11,4,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40554101,코란도,뉴코란도 C,92,280,142166,1998,5,12,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
