매물ID,모델_CV_TE,현재가격_만원,모델,모델_원본,모델_LE,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
41363462,3132.2210078650214,1730,코나,코나 일렉트릭,91,102950,0,5,6,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
41533008,2580.7207386685927,9999,아반떼,아반떼 (CN7),62,122444,1598,5,5,6,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41568387,3157.6298724153103,4790,레이,더 뉴 G70 슈팅브레이크,34,2255,2497,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41425076,2758.425760042816,4890,렉스턴,렉스턴 뉴 아레나,35,10736,2157,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41331856,3757.422508106974,4499,G80,G80 (RG3),5,87216,3470,5,4,6,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41422458,3463.9361949029885,3100,아이오닉5,아이오닉5,66,22170,111,5,4,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
41179665,2949.416836726581,2220,스포티지,스포티지 5세대,55,121035,1998,5,5,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41550222,3341.52987241531,3650,아이오닉6,아이오닉6,67,54749,111,5,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
41477083,3555.8753163906044,3200,팰리세이드,팰리세이드,107,107471,2199,7,4,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40977398,3835.924823652034,1890,G80,G80,5,129566,3342,5,9,3,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41106388,3602.7134342567415,3100,팰리세이드,팰리세이드,107,4151,3778,7,6,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41387502,2710.5856535311,1979,트랙스,트랙스 크로스오버,103,34830,1199,5,3,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41019260,3326.4508146315256,3090,카니발,카니발 4세대,85,60233,2151,9,3,9,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41326912,2582.899977616721,2270,토레스,토레스,100,30785,1497,5,4,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41135270,2766.3800913523883,2490,렉스턴,더 뉴 렉스턴 스포츠,35,38608,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
41658652,2684.625840071605,2280,쏘나타,쏘나타 (DN8),57,113914,1598,5,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41083793,5130.415213793392,8888,G90,G90,6,102287,3778,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40850062,3757.422508106974,3350,G80,G80 (RG3),5,90246,3470,5,5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
38678569,2486.7822778913587,1770,셀토스,셀토스,49,53015,1591,5,6,12,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41430056,2849.033733094886,2950,G70,G70,4,71147,3342,5,8,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41566912,2609.95163614849,2820,니로,디 올 뉴 니로,29,77283,1580,5,4,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
41462436,5412.40951276323,3080,GV80,GV80,9,273470,3470,5,5,18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41539697,3847.011384330083,7350,G80,G80 (RG3),5,11388,3470,5,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
40893201,3709.4577210734715,5990,모하비,모하비 더 마스터,43,22541,2959,5,4,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41139473,2985.7852847364197,3900,싼타페,싼타페 (MX5),56,27537,1598,5,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
41197674,3757.422508106974,3290,G80,G80 (RG3),5,96603,2497,5,6,3,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41562501,2955.8786466935444,2130,코나,더 뉴 코나,91,70523,1598,5,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
